run,tier,k,target,censors,total,hijacked,legit,no_route,hijack_rate,error
run_001,1,1,AS24,AS2,28,17,11,0,60.7,
run_001,1,2,AS24,AS2;AS3,27,18,9,0,66.7,
run_001,1,3,AS24,AS2;AS3;AS1,26,18,8,0,69.2,
run_001,2,1,AS24,AS8,28,18,10,0,64.3,
run_001,2,2,AS24,AS8;AS6,27,19,8,0,70.4,
run_001,2,3,AS24,AS8;AS6;AS9,26,21,5,0,80.8,
run_001,2,4,AS24,AS8;AS6;AS9;AS10,25,25,0,0,100.0,
run_001,2,5,AS24,AS8;AS6;AS9;AS10;AS7,24,24,0,0,100.0,
run_001,2,6,AS24,AS8;AS6;AS9;AS10;AS7;AS4,23,23,0,0,100.0,
run_001,2,7,AS24,AS8;AS6;AS9;AS10;AS7;AS4;AS5,22,22,0,0,100.0,
run_001,3,1,AS24,AS19,28,14,14,0,50.0,
run_001,3,2,AS24,AS19;AS11,27,21,6,0,77.8,
run_001,3,3,AS24,AS19;AS11;AS14,26,23,3,0,88.5,
run_001,3,4,AS24,AS19;AS11;AS14;AS25,25,22,3,0,88.0,
run_001,3,5,AS24,AS19;AS11;AS14;AS25;AS18,24,21,3,0,87.5,
run_001,3,6,AS24,AS19;AS11;AS14;AS25;AS18;AS13,23,20,3,0,87.0,
run_001,3,7,AS24,AS19;AS11;AS14;AS25;AS18;AS13;AS27,22,19,3,0,86.4,
run_001,3,8,AS24,AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23,21,19,2,0,90.5,
run_001,3,9,AS24,AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30,20,19,1,0,95.0,
run_002,1,1,AS12,AS3,28,4,24,0,14.3,
run_002,1,2,AS12,AS3;AS1,27,4,23,0,14.8,
run_002,1,3,AS12,AS3;AS1;AS2,26,4,22,0,15.4,
run_002,2,1,AS12,AS6,28,15,13,0,53.6,
run_002,2,2,AS12,AS6;AS9,27,14,13,0,51.9,
run_002,2,3,AS12,AS6;AS9;AS5,26,20,6,0,76.9,
run_002,2,4,AS12,AS6;AS9;AS5;AS4,25,25,0,0,100.0,
run_002,2,5,AS12,AS6;AS9;AS5;AS4;AS8,24,24,0,0,100.0,
run_002,2,6,AS12,AS6;AS9;AS5;AS4;AS8;AS7,23,23,0,0,100.0,
run_002,2,7,AS12,AS6;AS9;AS5;AS4;AS8;AS7;AS10,22,22,0,0,100.0,
run_002,3,1,AS12,AS16,28,7,21,0,25.0,
run_002,3,2,AS12,AS16;AS17,27,6,21,0,22.2,
run_002,3,3,AS12,AS16;AS17;AS26,26,6,20,0,23.1,
run_002,3,4,AS12,AS16;AS17;AS26;AS29,25,9,16,0,36.0,
run_002,3,5,AS12,AS16;AS17;AS26;AS29;AS19,24,8,16,0,33.3,
run_002,3,6,AS12,AS16;AS17;AS26;AS29;AS19;AS18,23,7,16,0,30.4,
run_002,3,7,AS12,AS16;AS17;AS26;AS29;AS19;AS18;AS23,22,10,12,0,45.5,
run_002,3,8,AS12,AS16;AS17;AS26;AS29;AS19;AS18;AS23;AS15,21,9,12,0,42.9,
run_002,3,9,AS12,AS16;AS17;AS26;AS29;AS19;AS18;AS23;AS15;AS20,20,11,9,0,55.0,
run_003,1,1,AS13,AS3,28,16,12,0,57.1,
run_003,1,2,AS13,AS3;AS2,27,16,11,0,59.3,
run_003,1,3,AS13,AS3;AS2;AS1,26,16,10,0,61.5,
run_003,2,1,AS13,AS8,28,21,7,0,75.0,
run_003,2,2,AS13,AS8;AS5,27,27,0,0,100.0,
run_003,2,3,AS13,AS8;AS5;AS7,26,26,0,0,100.0,
