run,tier,k,target,censors,total,hijacked,legit,no_route,hijack_rate,error
run_001,1,1,AS24,AS2,28,17,11,0,60.7,
run_001,1,2,AS24,AS2;AS3,27,18,9,0,66.7,
run_001,1,3,AS24,AS2;AS3;AS1,26,18,8,0,69.2,
run_001,2,1,AS24,AS7,28,22,6,0,78.6,
run_001,2,2,AS24,AS7;AS8,27,21,6,0,77.8,
run_001,2,3,AS24,AS7;AS8;AS6,26,21,5,0,80.8,
run_001,2,4,AS24,AS7;AS8;AS6;AS9,25,23,2,0,92.0,
run_001,2,5,AS24,AS7;AS8;AS6;AS9;AS10,24,24,0,0,100.0,
run_001,2,6,AS24,AS7;AS8;AS6;AS9;AS10;AS4,23,23,0,0,100.0,
run_001,2,7,AS24,AS7;AS8;AS6;AS9;AS10;AS4;AS5,22,22,0,0,100.0,
run_001,3,1,AS24,AS20,28,23,5,0,82.1,
run_001,3,2,AS24,AS20;AS19,27,22,5,0,81.5,
run_001,3,3,AS24,AS20;AS19;AS11,26,21,5,0,80.8,
run_001,3,4,AS24,AS20;AS19;AS11;AS14,25,23,2,0,92.0,
run_001,3,5,AS24,AS20;AS19;AS11;AS14;AS25,24,22,2,0,91.7,
run_001,3,6,AS24,AS20;AS19;AS11;AS14;AS25;AS18,23,21,2,0,91.3,
run_001,3,7,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13,22,20,2,0,90.9,
run_001,3,8,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27,21,19,2,0,90.5,
run_001,3,9,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23,20,19,1,0,95.0,
run_001,3,10,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30,19,18,1,0,94.7,
run_001,3,11,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15,18,17,1,0,94.4,
run_001,3,12,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17,17,16,1,0,94.1,
run_001,3,13,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21,16,15,1,0,93.8,
run_001,3,14,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21;AS22,15,14,1,0,93.3,
run_001,3,15,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21;AS22;AS16,14,13,1,0,92.9,
run_001,3,16,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21;AS22;AS16;AS26,13,12,1,0,92.3,
run_001,3,17,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21;AS22;AS16;AS26;AS29,12,11,1,0,91.7,
run_001,3,18,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21;AS22;AS16;AS26;AS29;AS12,11,10,1,0,90.9,
run_001,3,19,AS24,AS20;AS19;AS11;AS14;AS25;AS18;AS13;AS27;AS23;AS30;AS15;AS17;AS21;AS22;AS16;AS26;AS29;AS12;AS28,10,9,1,0,90.0,
run_002,1,1,AS12,AS3,28,4,24,0,14.3,
run_002,1,2,AS12,AS3;AS1,27,4,23,0,14.8,
run_002,1,3,AS12,AS3;AS1;AS2,26,4,22,0,15.4,
run_002,2,1,AS12,AS4,28,16,12,0,57.1,
run_002,2,2,AS12,AS4;AS6,27,21,6,0,77.8,
