run,attacker_tier,m,target,censor,rpki_routers,total,hijacked,true_hijacked,legit,no_route,hijack_rate,true_hijack_rate,error
run_001,1,0,AS24,AS2,0,28,28,28,0,0,100.0,100.0,
run_001,1,3,AS24,AS2,3,28,16,16,12,0,57.1,57.1,
run_001,1,8,AS24,AS2,8,28,9,3,19,0,32.1,10.7,
run_001,1,16,AS24,AS2,16,28,0,0,28,0,0.0,0.0,
run_001,1,29,AS24,AS2,29,28,6,0,22,0,21.4,0.0,
run_001,2,0,AS24,AS7,0,28,28,28,0,0,100.0,100.0,
run_001,2,3,AS24,AS7,3,28,12,12,16,0,42.9,42.9,
run_001,2,8,AS24,AS7,8,28,7,7,21,0,25.0,25.0,
run_001,2,16,AS24,AS7,16,28,4,2,24,0,14.3,7.1,
run_001,2,29,AS24,AS7,29,28,4,0,24,0,14.3,0.0,
run_001,3,0,AS24,AS20,0,28,28,28,0,0,100.0,100.0,
run_001,3,3,AS24,AS20,3,28,20,20,8,0,71.4,71.4,
run_001,3,8,AS24,AS20,8,28,4,4,24,0,14.3,14.3,
run_001,3,16,AS24,AS20,16,28,0,0,28,0,0.0,0.0,
run_001,3,29,AS24,AS20,29,28,0,0,28,0,0.0,0.0,
run_002,1,0,AS12,AS3,0,28,28,28,0,0,100.0,100.0,
run_002,1,3,AS12,AS3,3,28,17,17,11,0,60.7,60.7,
run_002,1,8,AS12,AS3,8,28,0,0,28,0,0.0,0.0,
run_002,1,16,AS12,AS3,16,28,0,0,28,0,0.0,0.0,
run_002,1,29,AS12,AS3,29,28,0,0,28,0,0.0,0.0,
run_002,2,0,AS12,AS4,0,28,28,28,0,0,100.0,100.0,
run_002,2,3,AS12,AS4,3,28,14,10,14,0,50.0,35.7,
run_002,2,8,AS12,AS4,8,28,13,6,15,0,46.4,21.4,
run_002,2,16,AS12,AS4,16,28,13,1,15,0,46.4,3.6,
run_002,2,29,AS12,AS4,29,28,13,0,15,0,46.4,0.0,
run_002,3,0,AS12,AS23,0,28,28,28,0,0,100.0,100.0,
run_002,3,3,AS12,AS23,3,28,11,11,17,0,39.3,39.3,
run_002,3,8,AS12,AS23,8,28,3,3,25,0,10.7,10.7,
run_002,3,16,AS12,AS23,16,28,0,0,28,0,0.0,0.0,
run_002,3,29,AS12,AS23,29,28,0,0,25,3,0.0,0.0,
run_003,1,0,AS13,AS3,0,28,28,28,0,0,100.0,100.0,
run_003,1,3,AS13,AS3,3,28,17,17,11,0,60.7,60.7,
run_003,1,8,AS13,AS3,8,28,7,0,20,1,25.0,0.0,
run_003,1,16,AS13,AS3,16,28,7,0,21,0,25.0,0.0,
run_003,1,29,AS13,AS3,29,28,7,0,21,0,25.0,0.0,
run_003,2,0,AS13,AS4,0,28,27,27,0,1,96.4,96.4,
run_003,2,3,AS13,AS4,3,28,11,11,17,0,39.3,39.3,
run_003,2,8,AS13,AS4,8,28,7,7,21,0,25.0,25.0,
run_003,2,16,AS13,AS4,16,28,2,0,26,0,7.1,0.0,
run_003,2,29,AS13,AS4,29,28,2,0,26,0,7.1,0.0,
run_003,3,0,AS13,AS26,0,28,28,28,0,0,100.0,100.0,
run_003,3,3,AS13,AS26,3,28,12,12,16,0,42.9,42.9,
run_003,3,8,AS13,AS26,8,28,0,0,28,0,0.0,0.0,
run_003,3,16,AS13,AS26,16,28,0,0,27,1,0.0,0.0,
run_003,3,29,AS13,AS26,29,28,0,0,28,0,0.0,0.0,
run_004,1,0,AS20,AS1,0,28,28,28,0,0,100.0,100.0,
run_004,1,3,AS20,AS1,3,28,17,17,11,0,60.7,60.7,
run_004,1,8,AS20,AS1,8,28,4,4,24,0,14.3,14.3,
run_004,1,16,AS20,AS1,16,28,0,0,28,0,0.0,0.0,
run_004,1,29,AS20,AS1,29,28,0,0,28,0,0.0,0.0,
run_004,2,0,AS20,AS5,0,28,28,28,0,0,100.0,100.0,
run_004,2,3,AS20,AS5,3,28,12,12,16,0,42.9,42.9,
run_004,2,8,AS20,AS5,8,28,4,4,24,0,14.3,14.3,
run_004,2,16,AS20,AS5,16,28,2,1,26,0,7.1,3.6,
run_004,2,29,AS20,AS5,29,28,2,0,25,1,7.1,0.0,
run_004,3,0,AS20,AS22,0,28,28,28,0,0,100.0,100.0,
run_004,3,3,AS20,AS22,3,28,19,19,9,0,67.9,67.9,
run_004,3,8,AS20,AS22,8,28,6,6,22,0,21.4,21.4,
run_004,3,16,AS20,AS22,16,28,0,0,27,1,0.0,0.0,
run_004,3,29,AS20,AS22,29,28,0,0,28,0,0.0,0.0,
run_005,1,0,AS18,AS3,0,28,28,28,0,0,100.0,100.0,
run_005,1,3,AS18,AS3,3,28,17,17,11,0,60.7,60.7,
run_005,1,8,AS18,AS3,8,28,0,0,28,0,0.0,0.0,
run_005,1,16,AS18,AS3,16,28,0,0,28,0,0.0,0.0,
run_005,1,29,AS18,AS3,29,28,0,0,27,1,0.0,0.0,
run_005,2,0,AS18,AS9,0,28,28,28,0,0,100.0,100.0,
run_005,2,3,AS18,AS9,3,28,13,13,15,0,46.4,46.4,
run_005,2,8,AS18,AS9,8,28,4,4,24,0,14.3,14.3,
run_005,2,16,AS18,AS9,16,28,4,4,24,0,14.3,14.3,
run_005,2,29,AS18,AS9,29,28,2,0,26,0,7.1,0.0,
run_005,3,0,AS18,AS26,0,28,28,28,0,0,100.0,100.0,
run_005,3,3,AS18,AS26,3,28,12,12,16,0,42.9,42.9,
run_005,3,8,AS18,AS26,8,28,0,0,28,0,0.0,0.0,
run_005,3,16,AS18,AS26,16,28,0,0,28,0,0.0,0.0,
run_005,3,29,AS18,AS26,29,28,0,0,27,1,0.0,0.0,
run_006,1,0,AS19,AS3,0,28,28,28,0,0,100.0,100.0,
run_006,1,3,AS19,AS3,3,28,17,17,11,0,60.7,60.7,
run_006,1,8,AS19,AS3,8,28,4,0,24,0,14.3,0.0,
run_006,1,16,AS19,AS3,16,28,4,0,24,0,14.3,0.0,
run_006,1,29,AS19,AS3,29,28,4,0,24,0,14.3,0.0,
run_006,2,0,AS19,AS6,0,28,28,28,0,0,100.0,100.0,
run_006,2,3,AS19,AS6,3,28,12,12,16,0,42.9,42.9,
run_006,2,8,AS19,AS6,8,28,4,4,24,0,14.3,14.3,
run_006,2,16,AS19,AS6,16,28,3,1,25,0,10.7,3.6,
run_006,2,29,AS19,AS6,29,28,3,0,24,1,10.7,0.0,
run_006,3,0,AS19,AS17,0,28,27,27,0,1,96.4,96.4,
run_006,3,3,AS19,AS17,3,28,13,13,15,0,46.4,46.4,
run_006,3,8,AS19,AS17,8,28,0,0,28,0,0.0,0.0,
run_006,3,16,AS19,AS17,16,28,0,0,28,0,0.0,0.0,
run_006,3,29,AS19,AS17,29,28,0,0,28,0,0.0,0.0,
run_007,1,0,AS11,AS3,0,28,28,28,0,0,100.0,100.0,
run_007,1,3,AS11,AS3,3,28,18,18,10,0,64.3,64.3,
run_007,1,8,AS11,AS3,8,28,0,0,28,0,0.0,0.0,
run_007,1,16,AS11,AS3,16,28,0,0,28,0,0.0,0.0,
run_007,1,29,AS11,AS3,29,28,0,0,28,0,0.0,0.0,
run_007,2,0,AS11,AS4,0,28,28,28,0,0,100.0,100.0,
run_007,2,3,AS11,AS4,3,28,27,10,0,1,96.4,35.7,
run_007,2,8,AS11,AS4,8,28,27,6,0,1,96.4,21.4,
run_007,2,16,AS11,AS4,16,28,28,1,0,0,100.0,3.6,
run_007,2,29,AS11,AS4,29,28,28,0,0,0,100.0,0.0,
run_007,3,0,AS11,AS28,0,28,28,28,0,0,100.0,100.0,
run_007,3,3,AS11,AS28,3,28,13,13,15,0,46.4,46.4,
run_007,3,8,AS11,AS28,8,28,0,0,27,1,0.0,0.0,
run_007,3,16,AS11,AS28,16,28,0,0,28,0,0.0,0.0,
run_007,3,29,AS11,AS28,29,28,0,0,28,0,0.0,0.0,
run_008,1,0,AS29,AS3,0,28,28,28,0,0,100.0,100.0,
run_008,1,3,AS29,AS3,3,28,17,17,11,0,60.7,60.7,
run_008,1,8,AS29,AS3,8,28,4,0,24,0,14.3,0.0,
run_008,1,16,AS29,AS3,16,28,4,0,23,1,14.3,0.0,
run_008,1,29,AS29,AS3,29,28,4,0,24,0,14.3,0.0,
run_008,2,0,AS29,AS8,0,28,25,25,0,3,89.3,89.3,
run_008,2,3,AS29,AS8,3,28,28,12,0,0,100.0,42.9,
run_008,2,8,AS29,AS8,8,28,28,3,0,0,100.0,10.7,
run_008,2,16,AS29,AS8,16,28,28,3,0,0,100.0,10.7,
run_008,2,29,AS29,AS8,29,28,28,0,0,0,100.0,0.0,
run_008,3,0,AS29,AS12,0,28,28,28,0,0,100.0,100.0,
run_008,3,3,AS29,AS12,3,28,21,21,6,1,75.0,75.0,
run_008,3,8,AS29,AS12,8,28,0,0,28,0,0.0,0.0,
run_008,3,16,AS29,AS12,16,28,0,0,26,2,0.0,0.0,
run_008,3,29,AS29,AS12,29,28,0,0,28,0,0.0,0.0,
run_009,1,0,AS14,AS1,0,28,28,28,0,0,100.0,100.0,
run_009,1,3,AS14,AS1,3,28,17,17,11,0,60.7,60.7,
run_009,1,8,AS14,AS1,8,28,4,4,24,0,14.3,14.3,
run_009,1,16,AS14,AS1,16,28,0,0,28,0,0.0,0.0,
run_009,1,29,AS14,AS1,29,28,0,0,28,0,0.0,0.0,
run_009,2,0,AS14,AS7,0,28,28,28,0,0,100.0,100.0,
run_009,2,3,AS14,AS7,3,28,12,12,16,0,42.9,42.9,
run_009,2,8,AS14,AS7,8,28,8,8,20,0,28.6,28.6,
run_009,2,16,AS14,AS7,16,28,3,2,25,0,10.7,7.1,
run_009,2,29,AS14,AS7,29,28,2,0,26,0,7.1,0.0,
run_009,3,0,AS14,AS12,0,28,28,28,0,0,100.0,100.0,
run_009,3,3,AS14,AS12,3,28,22,22,6,0,78.6,78.6,
run_009,3,8,AS14,AS12,8,28,0,0,28,0,0.0,0.0,
