mode,run,observer,hijacked_at_t0,unreachable_at_t0,decensor_s,ping_recovered_s,reachability_lost
graceful,1,AS1,1,1,1.212,1.212,0
graceful,1,AS3,0,1,0.000,,1
graceful,1,AS4,1,1,1.212,1.212,0
graceful,1,AS5,1,1,1.212,1.212,0
graceful,1,AS6,1,1,1.212,1.212,0
graceful,1,AS7,1,1,1.212,1.212,0
graceful,1,AS8,1,1,1.212,1.212,0
graceful,1,AS9,1,1,1.212,1.212,0
graceful,1,AS10,1,1,1.212,1.212,0
graceful,1,AS11,1,1,1.212,1.212,0
graceful,1,AS12,1,1,1.212,1.212,0
graceful,1,AS13,1,1,1.212,1.212,0
graceful,1,AS14,1,1,1.212,1.212,0
graceful,1,AS15,1,1,1.212,1.212,0
graceful,1,AS16,1,1,1.212,1.212,0
graceful,1,AS17,1,1,1.212,1.212,0
graceful,1,AS18,1,1,1.212,1.212,0
graceful,1,AS19,1,1,1.212,1.212,0
graceful,1,AS20,1,1,1.212,1.212,0
graceful,1,AS21,1,1,1.212,1.212,0
graceful,1,AS22,1,1,1.212,1.212,0
graceful,1,AS23,1,1,1.212,1.212,0
graceful,1,AS25,1,1,1.212,1.212,0
graceful,1,AS26,1,1,1.212,1.212,0
graceful,1,AS27,1,1,1.212,1.212,0
graceful,1,AS28,1,1,1.212,1.212,0
graceful,1,AS29,0,1,0.000,,1
graceful,1,AS30,1,1,1.212,1.212,0
stop,1,AS1,1,1,0.494,,1
stop,1,AS3,0,1,0.000,,1
stop,1,AS4,1,1,0.494,,1
stop,1,AS5,1,1,0.494,,1
stop,1,AS6,1,1,0.494,,1
stop,1,AS7,1,1,0.494,,1
stop,1,AS8,1,1,0.494,,1
stop,1,AS9,1,1,0.494,,1
stop,1,AS10,1,1,0.494,,1
stop,1,AS11,1,1,0.494,,1
stop,1,AS12,1,1,0.494,,1
stop,1,AS13,1,1,0.494,,1
stop,1,AS14,1,1,0.494,,1
stop,1,AS15,1,1,0.494,,1
stop,1,AS16,1,1,0.494,,1
stop,1,AS17,1,1,0.494,,1
stop,1,AS18,1,1,0.494,,1
stop,1,AS19,1,1,0.494,,1
stop,1,AS20,1,1,0.494,,1
stop,1,AS21,1,1,0.494,,1
stop,1,AS22,1,1,0.494,,1
stop,1,AS23,1,1,0.494,,1
stop,1,AS25,1,1,0.494,,1
stop,1,AS26,1,1,0.494,,1
stop,1,AS27,1,1,0.494,,1
stop,1,AS28,1,1,0.494,,1
stop,1,AS29,0,1,0.000,,1
stop,1,AS30,1,1,0.494,,1
